Location,Resort,Pass,Year,Total Snowfall,Snowfall Days,Average Base Depth,Average Summit Depth,Max Base Depth,Biggest Snowfall
colorado,Copper Mountain,Ikon,2012 - 2013,237,77,29,28,80,13
colorado,Copper Mountain,Ikon,2013 - 2014,352,87,42,47,91,18
colorado,Copper Mountain,Ikon,2014 - 2015,254,63,35,39,70,17
colorado,Copper Mountain,Ikon,2015 - 2016,247,71,33,40,76,15
colorado,Copper Mountain,Ikon,2016 - 2017,246,70,32,39,64,16
colorado,Copper Mountain,Ikon,2017 - 2018,202,59,29,37,73,18
colorado,Copper Mountain,Ikon,2018 - 2019,246,69,37,52,87,19
colorado,Copper Mountain,Ikon,2019 - 2020,201,65,23,32,61,17
colorado,Copper Mountain,Ikon,2020 - 2021,185,76,23,27,50,9
colorado,Copper Mountain,Ikon,2021 - To Date,188,61,41,48,62,13
wyoming,Jackson Hole,Ikon,2012 - 2013,349,79,37,45,70,16
wyoming,Jackson Hole,Ikon,2013 - 2014,431,75,51,55,131,19
wyoming,Jackson Hole,Ikon,2014 - 2015,461,72,14,50,35,34
wyoming,Jackson Hole,Ikon,2015 - 2016,380,74,14,49,35,17
wyoming,Jackson Hole,Ikon,2016 - 2017,483,83,17,73,52,19
wyoming,Jackson Hole,Ikon,2017 - 2018,397,84,9,60,29,16
wyoming,Jackson Hole,Ikon,2018 - 2019,464,76,27,56,68,24
wyoming,Jackson Hole,Ikon,2019 - 2020,451,71,15,45,45,23
wyoming,Jackson Hole,Ikon,2020 - 2021,437,63,17,53,45,24
wyoming,Jackson Hole,Ikon,2021 - To Date,291,52,15,56,35,24
colorado,Steamboat,Ikon,2012 - 2013,380,77,31,66,67,28
colorado,Steamboat,Ikon,2013 - 2014,263,67,42,53,82,14
colorado,Steamboat,Ikon,2014 - 2015,174,50,31,37,68,13
colorado,Steamboat,Ikon,2015 - 2016,331,73,39,46,84,12
colorado,Steamboat,Ikon,2016 - 2017,291,70,35,42,70,20
colorado,Steamboat,Ikon,2017 - 2018,238,59,27,35,67,11
colorado,Steamboat,Ikon,2018 - 2019,320,79,40,53,86,14
colorado,Steamboat,Ikon,2019 - 2020,268,64,29,36,79,15
colorado,Steamboat,Ikon,2020 - 2021,219,64,23,34,56,12
colorado,Steamboat,Ikon,2021 - To Date,211,54,36,53,58,18
colorado,Breckenridge,Epic,2012 - 2013,275,74,36,31,558,12
colorado,Breckenridge,Epic,2013 - 2014,388,81,49,47,104,23
colorado,Breckenridge,Epic,2014 - 2015,289,62,39,39,77,16
colorado,Breckenridge,Epic,2015 - 2016,321,73,38,37,87,15
colorado,Breckenridge,Epic,2016 - 2017,279,73,37,36,86,19
colorado,Breckenridge,Epic,2017 - 2018,271,62,32,31,83,14
colorado,Breckenridge,Epic,2018 - 2019,387,96,62,62,107,17
colorado,Breckenridge,Epic,2019 - 2020,280,63,32,28,88,20
colorado,Breckenridge,Epic,2020 - 2021,284,87,35,35,66,13
colorado,Breckenridge,Epic,2021 - To Date,214,60,39,39,67,12
colorado,Vail,Epic,2012 - 2013,285,81,25,24,71,13
colorado,Vail,Epic,2013 - 2014,263,65,39,36,449,21
colorado,Vail,Epic,2014 - 2015,236,56,30,28,65,12
colorado,Vail,Epic,2015 - 2016,313,74,36,35,77,15
colorado,Vail,Epic,2016 - 2017,215,69,31,30,65,10
colorado,Vail,Epic,2017 - 2018,171,45,28,27,70,11
colorado,Vail,Epic,2018 - 2019,281,77,42,42,96,15
colorado,Vail,Epic,2019 - 2020,229,59,32,31,87,17
colorado,Vail,Epic,2020 - 2021,218,64,36,35,63,13
colorado,Vail,Epic,2021 - To Date,186,54,43,43,71,11
colorado,Telluride,Epic,2012 - 2013,196,46,27,26,63,12
colorado,Telluride,Epic,2013 - 2014,179,36,43,39,80,15
colorado,Telluride,Epic,2014 - 2015,204,43,33,31,75,16
colorado,Telluride,Epic,2015 - 2016,241,51,40,36,75,19
colorado,Telluride,Epic,2016 - 2017,294,59,39,33,86,19
colorado,Telluride,Epic,2017 - 2018,159,37,20,23,48,12
colorado,Telluride,Epic,2018 - 2019,323,63,44,42,110,19
colorado,Telluride,Epic,2019 - 2020,205,48,24,24,55,19
colorado,Telluride,Epic,2020 - 2021,206,49,24,30,64,17
colorado,Telluride,Epic,2021 - To Date,179,39,34,37,58,20
