,Location,Resort,Pass,Limited or unlimited,Total Lifts,Summit height,Vertical Drop,Base Elevation,Runs in Total,Longest Run,Skiable Terrain,Snow Making,Projected Opening,Projected Closing,Projected Days Open,Days Open Last Year,Years Open,Average Snowfall,Beginners Runs,Intermediate Runs,Advanced Runs,Expert Runs,Night Skiing
1,colorado,Arapahoe Basin,Ikon,limited,9,13050,2530,10780,147,1.5 mi,1428 ac,125 ac,2021-10-17,2022-06-05,270,234,76,350,7.0,20.0,49.0,24.0,
3,california,Bear Mountain,Ikon,unlimited,12,8805,1665,7140,15,1.5 mi,198 ac,198 ac,2021-12-02,2022-04-16,135,122,79,100,20.0,33.0,33.0,13.0,
4,montana,Big Sky,Ikon,limited,36,11166,4350,7500,317,6 mi,5800 ac,400 ac,2021-11-25,2022-04-24,143,144,49,400,15.0,25.0,42.0,18.0,
5,ontario,Blue Mountain,Ikon,unlimited,11,1476,722,755,55,1 mi,365 ac,360 ac,2021-12-04,2022-04-03,149,135,81,110,22.0,33.0,16.0,29.0,260 ac
6,michigan,Boyne Mountain,Ikon,limited,12,1120,500,620,60,1 mi,415 ac,380 ac,2021-12-03,2022-04-24,130,122,74,140,49.0,28.0,20.0,3.0,200 ac
8,colorado,Copper Mountain,Ikon,unlimited,24,12313,2738,9712,150,1.7 mi,2527 ac,364 ac,2021-11-22,2022-04-24,163,153,50,300,25.0,24.0,34.0,17.0,
9,washington,Crystal Mountain,Ikon,limited,11,7012,3100,4400,86,2.5 mi,2600 ac,10 ac,2021-12-04,2022-05-08,142,N.A.,60,486,8.0,31.0,32.0,29.0,
10,british-columbia,Cypress Mountain,Ikon,limited,6,4751,2008,3012,61,2.5 mi,600 ac,82 ac,2021-11-26,2022-04-10,137,136,47,426,8.0,38.0,34.0,20.0,66 ac
11,utah,Deer Valley,Ikon,limited,21,9570,3000,6570,103,2.8 mi,2026 ac,660 ac,2021-12-04,2022-04-17,127,N.A.,42,300,27.0,31.0,10.0,32.0,
12,colorado,Eldora,Ikon,unlimited,10,10600,1400,9200,61,3 mi,680 ac,680 ac,2021-11-19,2022-04-17,170,147,60,311,18.0,48.0,18.0,16.0,
13,wyoming,Jackson Hole,Ikon,limited,13,10450,4139,6311,131,4.5 mi,2500 ac,195 ac,2021-11-25,2022-04-10,136,136,57,459,4.0,41.0,38.0,17.0,
